pmcid,pmid,doi,created,created_year
PMC2808184,20140073,10.4137/bbi.s2745,2009-07-01,2009
PMC2819038,20078868,10.1186/1743-422X-7-6,2010-01-15,2010
PMC2820015,20064199,10.1186/1743-422X-7-3,2010-01-08,2010
PMC2823673,20082709,10.1186/1743-422X-7-9,2010-01-18,2010
PMC2829536,20144216,10.1186/1743-422X-7-30,2010-02-09,2010
PMC2831879,20144233,10.1186/1743-422X-7-31,2010-02-09,2010
PMC2832772,20100346,10.1186/1743-422X-7-17,2010-01-25,2010
PMC2834657,20167059,10.1186/1743-422X-7-40,2010-02-18,2010
PMC2838858,20202190,10.1186/1743-422X-7-52,2010-03-04,2010
PMC2847567,20236536,10.1186/1743-422X-7-63,2010-03-17,2010
PMC2873380,20433729,10.1186/1743-422X-7-85,2010-04-30,2010
PMC2880969,20433759,10.1186/1743-422X-7-86,2010-05-01,2010
PMC2885340,20459851,10.1186/1743-422X-7-94,2010-05-12,2010
PMC2892456,20515509,10.1186/1743-422X-7-113,2010-06-02,2010
PMC2893155,20470403,10.1186/1743-422X-7-98,2010-05-14,2010
PMC2894783,20478047,10.1186/1743-422X-7-99,2010-05-17,2010
PMC2918564,20663162,10.1186/1743-422X-7-169,2010-07-21,2010
PMC2939558,20735849,10.1186/1743-422X-7-200,2010-08-24,2010
PMC2939561,20799985,10.1186/1743-422X-7-206,2010-08-29,2010
PMC2944171,20836894,10.1186/1743-422X-7-226,2010-09-14,2010
PMC2949843,20849641,10.1186/1743-422X-7-242,2010-09-18,2010
PMC2949849,20858246,10.1186/1743-422X-7-248,2010-09-21,2010
PMC2954857,20858291,10.1186/1743-422X-7-249,2010-09-22,2010
PMC2955716,20863409,10.1186/1743-422X-7-254,2010-09-24,2010
PMC2965154,20946645,10.1186/1743-422X-7-270,2010-10-14,2010
PMC2981880,21067543,10.1186/1745-7580-6-S2-S1,2010-11-03,2010
PMC2981881,21067547,10.1186/1745-7580-6-S2-S5,2010-11-03,2010
PMC2988023,21047436,10.1186/1743-422X-7-299,2010-11-04,2010
PMC2994542,21073718,10.1186/1743-422X-7-312,2010-11-12,2010
PMC3000394,21078183,10.1186/1476-069X-9-72,2010-11-15,2010
PMC3005570,21143820,10.1186/1471-2458-10-S1-S10,2010-12-03,2010
PMC3005574,21143824,10.1186/1471-2458-10-S1-S2,2010-12-03,2010
PMC3005580,21143830,10.1186/1471-2458-10-S1-S8,2010-12-03,2010
PMC3005581,21143831,10.1186/1471-2458-10-S1-S9,2010-12-03,2010
PMC3019433,NA,10.1186/1753-6561-5-s1-p117,2011-01-10,2011
PMC3019434,NA,10.1186/1753-6561-5-s1-p118,2011-01-10,2011
PMC3019503,NA,10.1186/1753-6561-5-s1-p74,2011-01-10,2011
PMC3019508,NA,10.1186/1753-6561-5-s1-p79,2011-01-10,2011
PMC3019510,NA,10.1186/1753-6561-5-s1-p80,2011-01-10,2011
PMC3024955,21223600,10.1186/1743-422X-8-11,2011-01-12,2011
PMC3024956,21205330,10.1186/1743-422X-8-3,2011-01-05,2011
